"No.","Time","Source","Destination","Protocol","Length","Info"
"243","18.055186","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=69633 Ack=1 Win=2048 Len=1024"
"244","18.059406","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=70657 Ack=1 Win=2048 Len=1024"
"246","18.064613","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=71681 Ack=1 Win=2048 Len=1024"
"247","18.068773","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=72705 Ack=1 Win=2048 Len=1024"
"249","18.073009","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=73729 Ack=1 Win=2048 Len=1024"
"250","18.077231","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=74753 Ack=1 Win=2048 Len=1024"
"252","18.081424","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=75777 Ack=1 Win=2048 Len=1024"
"253","18.086635","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=76801 Ack=1 Win=2048 Len=1024"
"255","18.091220","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=77825 Ack=1 Win=2048 Len=1024"
"256","18.095440","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=78849 Ack=1 Win=2048 Len=1024"
"258","18.100801","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=79873 Ack=1 Win=2048 Len=1024"
"259","18.104844","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=80897 Ack=1 Win=2048 Len=1024"
"261","18.109217","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=81921 Ack=1 Win=2048 Len=1024"
"262","18.113407","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=82945 Ack=1 Win=2048 Len=1024"
"264","18.117437","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=83969 Ack=1 Win=2048 Len=1024"
"265","18.122625","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=84993 Ack=1 Win=2048 Len=1024"
"267","18.127237","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=86017 Ack=1 Win=2048 Len=1024"
"268","18.131641","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=87041 Ack=1 Win=2048 Len=1024"
"270","18.136670","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=88065 Ack=1 Win=2048 Len=1024"
"271","18.140130","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=89089 Ack=1 Win=2048 Len=1024"
"273","18.143089","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=90113 Ack=1 Win=2048 Len=1024"
"274","18.145305","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=91137 Ack=1 Win=2048 Len=1024"
"276","18.148281","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=92161 Ack=1 Win=2048 Len=1024"
"277","18.151500","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=93185 Ack=1 Win=2048 Len=1024"
