"No.","Time","Source","Destination","Protocol","Length","Info"
"252","5.762180","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=133121 Ack=1 Win=2048 Len=1024"
"253","5.763231","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=134145 Ack=1 Win=2048 Len=1024"
"255","5.764394","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=135169 Ack=1 Win=2048 Len=1024"
"256","5.765484","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=136193 Ack=1 Win=2048 Len=1024"
"258","5.766673","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=137217 Ack=1 Win=2048 Len=1024"
"259","5.767720","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=138241 Ack=1 Win=2048 Len=1024"
"261","5.768856","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=139265 Ack=1 Win=2048 Len=1024"
"262","5.769940","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=140289 Ack=1 Win=2048 Len=1024"
"264","5.771069","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=141313 Ack=1 Win=2048 Len=1024"
"265","5.772115","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=142337 Ack=1 Win=2048 Len=1024"
"267","5.773279","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=143361 Ack=1 Win=2048 Len=1024"
"268","5.774338","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=144385 Ack=1 Win=2048 Len=1024"
"270","5.775528","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=145409 Ack=1 Win=2048 Len=1024"
"271","5.776552","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=146433 Ack=1 Win=2048 Len=1024"
"273","5.777675","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=147457 Ack=1 Win=2048 Len=1024"
"274","5.778742","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=148481 Ack=1 Win=2048 Len=1024"
"276","5.779868","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=149505 Ack=1 Win=2048 Len=1024"
"277","5.780930","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=150529 Ack=1 Win=2048 Len=1024"
"279","5.782076","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=151553 Ack=1 Win=2048 Len=1024"
"280","5.783134","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=152577 Ack=1 Win=2048 Len=1024"
"282","5.784268","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=153601 Ack=1 Win=2048 Len=1024"
"283","5.785346","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=154625 Ack=1 Win=2048 Len=1024"
"285","5.786483","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=155649 Ack=1 Win=2048 Len=1024"
"286","5.787530","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=156673 Ack=1 Win=2048 Len=1024"
"288","5.788697","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=157697 Ack=1 Win=2048 Len=1024"
"289","5.789740","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=158721 Ack=1 Win=2048 Len=1024"
"291","5.790886","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=159745 Ack=1 Win=2048 Len=1024"
"292","5.791940","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=160769 Ack=1 Win=2048 Len=1024"
"294","5.793074","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=161793 Ack=1 Win=2048 Len=1024"
"295","5.794146","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=162817 Ack=1 Win=2048 Len=1024"
"297","5.795279","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=163841 Ack=1 Win=2048 Len=1024"
"298","5.796349","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=164865 Ack=1 Win=2048 Len=1024"
"300","5.797477","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=165889 Ack=1 Win=2048 Len=1024"
"301","5.798545","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=166913 Ack=1 Win=2048 Len=1024"
"303","5.799697","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=167937 Ack=1 Win=2048 Len=1024"
"304","5.800738","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=168961 Ack=1 Win=2048 Len=1024"
"306","5.801881","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=169985 Ack=1 Win=2048 Len=1024"
"307","5.802942","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=171009 Ack=1 Win=2048 Len=1024"
"309","5.804096","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=172033 Ack=1 Win=2048 Len=1024"
"310","5.805150","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=173057 Ack=1 Win=2048 Len=1024"
